time,pid,x,y,z
1645222119127,MC4267,-0.24690466,1.0922589,0.07957782
1645222119147,MC4267,-0.13677628,0.9445064,-0.021037813
1645222119168,MC4267,-0.0693943,0.8321827,-0.1253122
1645222119188,MC4267,-0.09799353,0.7804114,-0.1428742
1645222119209,MC4267,-0.204951,0.7953513,-0.100127794
1645222119228,MC4267,-0.2711134,0.8917594,-0.052503064
1645222119248,MC4267,-0.26721072,0.9984729,-0.0486004
1645222119268,MC4267,-0.33361706,0.96895903,0.24952677
1645222119288,MC4267,-0.029087063,1.0487807,-0.27769914
1645222119307,MC4267,-0.045734376,0.9699347,-0.124336526
1645222119327,MC4267,-0.016647313,0.9166998,-0.13945936
1645222119349,MC4267,-0.07866313,0.8585868,-0.12262911
1645222119369,MC4267,-0.10604277,0.8722461,-0.11604337
1645222119388,MC4267,-0.11921428,0.9467016,-0.0664673
1645222119408,MC4267,-0.10018878,1.0407314,0.05024684
1645222119427,MC4267,-0.02933098,1.1437863,0.10299382
1645222119448,MC4267,0.1173849,1.1554942,0.104701236
1645222119468,MC4267,0.23611134,1.0871366,0.06518673
1645222119489,MC4267,0.112018734,0.91377294,0.18263261
1645222119510,MC4267,0.08933448,0.8363293,0.02658692
1645222119528,MC4267,0.10616473,0.8771244,0.18458395
1645222119548,MC4267,-0.065491624,1.0197548,-0.0811023
1645222119568,MC4267,-0.18781585,1.2358648,-0.17732742
1645222119589,MC4267,-0.27989438,1.4426452,-0.17074168
1645222119609,MC4267,-0.2935537,1.461,-0.3001395
1645222119628,MC4267,-0.26379588,1.2854409,-0.44886768
1645222119648,MC4267,-0.18391317,1.2101926,-0.5069808
1645222119669,MC4267,-0.19196242,1.4619756,-0.44569677
1645222119692,MC4267,-0.14726469,1.621924,-0.43667182
1645222119708,MC4267,-0.05671063,1.3796537,-0.35752088
1645222119728,MC4267,-0.11897036,1.0886002,-0.37069237
1645222119748,MC4267,-0.14263028,0.83486587,-0.22739132
1645222119769,MC4267,-0.21861032,0.63076854,-0.18025443
1645222119789,MC4267,-0.057442382,0.5802168,-0.22617173
1645222119810,MC4267,0.057076503,0.7091268,-0.24227025
1645222119829,MC4267,0.13622747,0.5633255,-0.20391436
1645222119849,MC4267,0.05951567,0.51131034,-0.18659626
1645222119869,MC4267,0.08738315,0.66003853,-0.079394884
1645222119889,MC4267,0.1515942,0.83706105,-0.03006273
1645222119909,MC4267,0.41337782,0.7460192,-0.13311753
1645222119929,MC4267,0.06658925,0.88932025,-0.08232188
1645222119950,MC4267,-0.111652866,1.0925028,0.04317325
1645222119969,MC4267,-0.34434935,1.2805016,-0.13970327
1645222119990,MC4267,0.5513127,0.9447503,0.10518908
1645222120010,MC4267,0.23489176,0.9203586,0.037075333
1645222120032,MC4267,0.11275049,1.0756726,0.005366167
1645222120050,MC4267,0.05292992,1.4011793,-0.052503064
1645222120069,MC4267,0.15817997,1.762542,-0.03811198
1645222120089,MC4267,0.11421398,1.7349794,-0.05793021
1645222120111,MC4267,0.015366751,1.3266629,-0.0972008
1645222120131,MC4267,0.03585575,0.45685592,-0.055491045
1645222120150,MC4267,-0.28087005,0.395328,0.21092695
1645222120170,MC4267,-0.7907169,1.1061622,0.61582863
1645222120190,MC4267,-1.0612814,1.2067778,0.42411014
1645222120210,MC4267,-0.895723,1.130371,-0.0015244792
1645222120229,MC4267,-0.2789187,1.4133751,-0.6600995
1645222120250,MC4267,-0.08500496,1.0854292,-0.57948506
1645222120270,MC4267,-0.23909932,0.9682272,-0.046405148
1645222120290,MC4267,-0.48063782,1.2775745,0.09274932
1645222120311,MC4267,-0.05988155,1.1997042,-0.006890646
1645222120330,MC4267,-0.038599815,1.0925028,0.103969485
1645222120350,MC4267,-0.0017683959,1.0642085,0.0482955
1645222120370,MC4267,0.09860332,0.8946864,0.061771903
1645222120391,MC4267,1.8293751E-4,0.7457753,0.11207971
1645222120411,MC4267,-0.11555553,0.7606542,0.0632354
1645222120430,MC4267,-0.12677568,0.6436961,-0.06573554
1645222120452,MC4267,-0.055491045,0.4866748,-0.10207913
1645222120471,MC4267,0.029757835,0.4644783,-0.06500379
1645222120491,MC4267,0.16037522,0.56747216,-0.0042075627
1645222120511,MC4267,0.17696154,0.7667521,-0.0012805626
1645222120533,MC4267,0.16622922,0.9560315,-0.17171735
1645222120555,MC4267,0.23092812,0.98164266,-0.15067953
1645222120571,MC4267,0.008720022,0.8946864,-0.028843146
1645222120592,MC4267,-0.27452824,0.7281523,-0.13921545
1645222120612,MC4267,-0.31184748,0.5787533,-0.2503195
1645222120636,MC4267,-0.27794304,0.5785094,-0.3458129
1645222120652,MC4267,-0.24788032,0.75406843,-0.36288705
1645222120672,MC4267,-0.10238402,1.024877,-0.3506912
1645222120692,MC4267,0.03463617,1.1728123,-0.477162
1645222120712,MC4267,0.13256872,1.130127,-0.51649356
1645222120733,MC4267,0.20043853,1.0378045,0.13744704
1645222120754,MC4267,0.18116911,1.224096,0.28178474
1645222120771,MC4267,0.71004146,1.4394742,0.12354381
1645222120791,MC4267,1.1442132,1.4875869,0.22440335
1645222120812,MC4267,0.8843809,1.3713605,0.28056514
1645222120832,MC4267,0.081529155,1.4187415,0.77724046
1645222120853,MC4267,-0.4107557,1.4939287,0.67955184
1645222120873,MC4267,-0.12921487,1.5096003,0.2368431
1645222120892,MC4267,0.15842389,1.4304494,0.20775603
1645222120913,MC4267,-0.03445323,1.4600242,0.114274964
1645222120934,MC4267,-0.18757193,1.4331325,0.103969485
1645222120956,MC4267,-0.21885423,1.3210527,0.05512517
1645222120974,MC4267,-0.085736714,1.1215899,-0.01396423
1645222120992,MC4267,-0.0020123126,0.90987027,-0.11043327
1645222121013,MC4267,0.17403455,0.790412,-0.22031775
1645222121032,MC4267,0.2292207,0.7567515,-0.26251534
1645222121052,MC4267,0.13330047,0.7208348,-0.24202633
1645222121072,MC4267,0.029513918,0.64686704,-0.16586335
1645222121093,MC4267,-0.042807378,0.5694235,-0.18025443
1645222121113,MC4267,-0.074028715,0.51868886,-0.16683902
1645222121132,MC4267,-0.058418043,0.52454287,-0.16214362
1645222121152,MC4267,0.006524771,0.5758263,-0.24495333
1645222121173,MC4267,0.0881149,0.66150206,-0.2757478
1645222121193,MC4267,0.14622805,0.7357137,-0.27794304
1645222121213,MC4267,0.22653763,0.7018093,-0.34312978
1645222121233,MC4267,0.26562527,0.5789972,-0.3565452
1645222121255,MC4267,0.23318435,0.4339278,-0.36557013
1645222121274,MC4267,0.1306174,0.40386507,-0.16952209
1645222121293,MC4267,0.22800112,0.7835823,-0.027867481
1645222121313,MC4267,0.6108893,1.5103321,0.2558686
1645222121336,MC4267,0.75547093,2.1534793,0.39923063
1645222121353,MC4267,0.49441913,2.2824504,0.04805159
1645222121373,MC4267,-0.17464434,1.774311,-0.0010366458
1645222121393,MC4267,-0.18220577,1.3091009,0.12086072
1645222121414,MC4267,0.1027499,1.1613483,0.043661084
1645222121433,MC4267,0.3059325,1.1557381,-0.15848486
1645222121454,MC4267,0.35843554,1.2204372,-0.19220635
1645222121474,MC4267,0.3030055,1.2228763,-0.07256521
1645222121493,MC4267,0.2201958,1.097869,0.039270587
